id; subtype; type; rarity; carry_limit; carry_limit_twisted; sort_order; flags; icon_id; icon_color; sell_price; buy_price; name; description
17; 0; 0; 1; 5; 5; 18; 12; 7; 8; 10; 98; Astera Jerky; Juicy, dried meat made by Astera's chef. Boosts natural healing and cures bleeding.
18; 0; 0; 1; 5; 5; 19; 8; 5; 4; 29; 293; Dash Juice; Dulls one's sense of exhaustion. Reduces stamina depletion for a time.
19; 0; 1; 3; 5; 5; 20; 8256; 0; 4; 205; 1028; Mega Dash Juice; Lets you dash without tiring for longer than regular dash juice does.
20; 0; 0; 1; 10; 10; 21; 12; 21; 1; 140; 280; Might Seed; Temporarily strengthens your attacks when ingested by improving energy flow.
21; 0; 0; 3; 5; 5; 22; 8; 5; 1; 67; 668; Demondrug; Boosts your attack power by filling you with—guess what?—demonic strength.
22; 0; 0; 4; 5; 5; 23; 72; 5; 1; 283; 2831; Mega Demondrug; Boosts your attack power even more than a regular Demondrug.
23; 0; 0; 3; 5; 5; 24; 8; 62; 1; 280; 2831; Might Pill; Temporarily endows you with the strength of a mighty god. Potent!
24; 0; 0; 1; 10; 10; 25; 12; 21; 7; 110; 220; Adamant Seed; Temporarily raises your defense when ingested by hardening tissue.
25; 0; 0; 3; 5; 5; 26; 8; 5; 7; 58; 578; Armorskin; Boosts your defense by turning your skin as hard as rock.
26; 0; 0; 4; 5; 5; 27; 72; 5; 7; 269; 2696; Mega Armorskin; Boosts your defense even more than a regular armorskin.
27; 0; 0; 3; 5; 5; 28; 8; 62; 7; 260; 2696; Adamant Pill; Temporarily makes your skin as hard as adamant. Potent!
28; 0; 0; 3; 3; 3; 29; 8; 13; 24; 190; 480; Lifepowder; Produces a healing cloud in the area around the user.
29; 0; 0; 3; 3; 3; 31; 8; 13; 3; 315; 6300; Herbal Powder; A mysterious powder that produces a cloud around the area that restores health and neutralizes poison.
30; 0; 0; 3; 3; 3; 32; 8; 13; 1; 315; 6300; Demon Powder; A mysterious powder that produces a cloud around the area that temporarily strengthens attacks.
31; 0; 0; 3; 3; 3; 33; 8; 13; 7; 315; 6300; Hardshell Powder; A mysterious powder that produces a cloud around the area that temporarily strengthens defense.
32; 0; 0; 1; 10; 10; 34; 0; 3; 7; 45; 90; Honey; Highly nutritious honey. Combine this with Potions to craft Mega Potions for maximum potency.
33; 0; 0; 0; 10; 10; 35; 0; 4; 2; 2; 20; Herb; A primary ingredient in potions.
34; 0; 0; 0; 10; 10; 36; 0; 4; 3; 2; 20; Antidote Herb; A primary ingredient in antidotes.
35; 0; 0; 1; 20; 20; 37; 0; 4; 25; 4; 44; Fire Herb; A wondrous, flammable plant. Useful for crafting explosives.
36; 0; 0; 0; 20; 20; 38; 0; 4; 15; 4; 44; Flowfern; This plant's leaves store a great amount of water. A component for making Water Ammo.
37; 0; 0; 1; 20; 20; 39; 0; 4; 0; 6; 64; Snow Herb; A plant that radiates ice-cold air. Use in combinations to create freeze ammo.
38; 0; 0; 0; 10; 10; 40; 0; 4; 6; 5; 50; Sleep Herb; A plant containing sleeping agents. Used to craft tranquilizers.
39; 0; 0; 0; 10; 10; 41; 0; 4; 13; 8; 75; Ivy; A lightweight and extremely strong plant. Used to make nets for pitfall traps.
40; 0; 0; 0; 10; 10; 44; 0; 21; 0; 4; 44; Smokenut; A nut that produces a copious amount of smoke. Combine with other items to create smoke with various properties.
41; 0; 0; 3; 10; 10; 45; 0; 21; 14; 78; 780; Dragonfell Berry; A mysterious berry, rumored for eons to be loathed by dragons. Required to craft Dragon Ammo.
42; 0; 0; 1; 10; 10; 46; 0; 1; 3; 2; 24; Blue Mushroom; A mushroom infused with power-enhancing effects. Used in restorative items.
43; 0; 0; 2; 10; 5; 47; 0; 1; 7; 40; 400; Mandragora; A dangerous fungus said to draw the life out of people. Beware. Required to craft Max Potions.
44; 0; 0; 1; 20; 20; 48; 0; 1; 1; 6; 60; Nitroshroom; A hard-to-find mushroom with the power to generate blazing heat. Required to craft Gunpowder.
45; 0; 0; 1; 10; 5; 49; 0; 1; 14; 60; 600; Devil's Blight; A very rare fungus that pulses with extreme heat. Add to a barrel bomb for a dramatically stronger blast.
46; 0; 0; 2; 10; 10; 50; 0; 1; 9; 15; 150; Parashroom; A mushroom that induces paralysis. Required to craft Tranq Bombs.
47; 0; 0; 1; 10; 10; 51; 0; 1; 5; 8; 75; Toadstool; A poisonous fungus. Can be used as a toxin for knives.
48; 0; 0; 2; 10; 10; 52; 0; 1; 13; 18; 180; Exciteshroom; This one has a very strange aroma. Is it edible? Only one way to find out! Required to craft Farcasters.
49; 0; 0; 0; 10; 10; 54; 0; 23; 3; 2; 20; Bitterbug; A sharp-tasting bug with innate healing abilities. Used as an ingredient in many medicines.
50; 0; 0; 1; 10; 10; 55; 0; 23; 4; 48; 96; Flashbug; An insect that emits a powerful flash when it dies. Required to craft Flash Pods.
51; 0; 0; 3; 10; 10; 56; 0; 23; 0; 120; 320; Godbug; An insect said to live a millennium. Combine it with other items to add their properties to the powder.
52; 0; 0; 3; 10; 10; 57; 0; 23; 9; 80; 300; Thunderbug; An insect that emits electricity when struck. Required to craft Shock Traps and Thunder Ammo.
53; 0; 0; 2; 10; 10; 58; 8; 29; 8; 2; 20; Baitbug; An insect used as fishing bait. A fish favorite, it practically races down the nearest gilly gullet.
54; 0; 0; 3; 99; 99; 59; 0; 45; 2; 52; 240; Kelbi Horn; While not practical when forging equipment, Kelbi horns are a vital component of many items.
55; 0; 0; 3; 20; 20; 60; 0; 5; 4; 56; 560; Dash Extract; A mysterious substance culled from certain monsters that increases endurance.
56; 0; 0; 3; 20; 20; 61; 0; 5; 0; 122; 1220; Nourishing Extract; Can be obtained from certain large monsters. Has the ability to amplify the effects of certain medicines.
57; 0; 0; 1; 10; 10; 62; 0; 13; 10; 15; 150; Screamer Sac; A monster organ that emits an earsplitting sonic blast when ruptured. Used to craft screamer pods.
58; 0; 0; 1; 5; 5; 63; 0; 13; 13; 48; 480; Catalyst; Works with other materials to enhance their effects. Cannot be used by itself.
59; 0; 0; 2; 8; 8; 64; 8; 24; 1; 35; 350; Tranq Bomb; A hand grenade used to capture monsters ensnared in traps. Can be slammed against the ground.
60; 0; 0; 1; 3; 3; 65; 8; 77; 4; 57; 572; Flash Pod; Slinger ammo that flashes brightly on impact. Fire it right under a monster's nose to blind it.
61; 0; 0; 1; 3; 3; 66; 8; 77; 10; 45; 450; Screamer Pod; Used as ammo for your slinger. Emits a harsh, high-frequency sound that can disrupt sensitive monsters.
62; 0; 0; 1; 3; 3; 68; 8; 24; 0; 44; 100; Smoke Bomb; Creates a large cloud of smoke wherever it lands.
63; 0; 0; 1; 5; 5; 69; 8; 24; 5; 60; 600; Poison Smoke Bomb; Releases a toxic cloud of mist when used. Also popular as a household bug bomb.
64; 0; 0; 2; 1; 1; 70; 8; 24; 2; 30; 150; Farcaster; Call for a wingdrake to transport you to the nearest camp. Can also be used during battles.
65; 0; 0; 0; 10; 10; 72; 8; 7; 1; 5; 50; Raw Meat; Meat carved from a monster. Can be cooked, combined, or used to set a trap.
66; 0; 0; 1; 10; 10; 73; 8; 7; 5; 19; 188; Poisoned Meat; Raw meat that poisons whatever eats it. Makes great bait for traps.
67; 0; 0; 1; 10; 10; 74; 8; 7; 9; 30; 300; Tinged Meat; Raw meat that paralyzes whatever eats it. Makes great bait for traps.
68; 0; 0; 1; 10; 10; 75; 8; 7; 6; 32; 315; Drugged Meat; Raw meat that puts whatever eats it to sleep. Makes great bait for traps.
69; 0; 0; 1; 20; 20; 76; 0; 13; 25; 45; 90; Gunpowder; A dangerous substance that explodes when struck or heated.
70; 0; 0; 0; 10; 10; 77; 0; 14; 4; 8; 80; Small Barrel; A small, empty barrel.
71; 0; 0; 1; 10; 10; 78; 8; 10; 4; 16; 156; Barrel Bomb; A small time bomb.
72; 0; 0; 1; 5; 5; 79; 8; 10; 6; 18; 150; Bounce Bomb; Launches into the air when set. This modified bomb requires skill to use.
73; 0; 0; 3; 5; 5; 80; 72; 10; 6; 68; 680; Mega Bounce Bomb; An improved version of the bounce bomb. Requires some skill to use.
74; 0; 0; 1; 5; 5; 81; 0; 14; 25; 21; 210; Large Barrel; A large, empty barrel. Combine with gunpowder to make it into a bomb.
75; 0; 0; 2; 2; 2; 82; 8; 10; 25; 52; 518; Large Barrel Bomb; A powerful bomb triggered by external physical impact.
76; 0; 0; 3; 2; 2; 83; 72; 10; 25; 80; 800; Mega Barrel Bomb; An upgraded large barrel bomb. Effective against large monsters.
77; 0; 0; 0; 10; 10; 84; 0; 20; 0; 6; 60; Spider Web; A very sticky web. Used to craft pitfall traps.
78; 0; 0; 1; 10; 10; 85; 0; 20; 13; 54; 108; Net; A sturdy net that supports a certain amount of weight without breaking. Perfect for pitfall traps.
79; 0; 0; 2; 2; 2; 86; 0; 11; 0; 20; 200; Trap Tool; A must-have item for putting together pitfall traps and other kinds of traps.
80; 0; 0; 2; 1; 1; 87; 8; 12; 13; 200; 400; Pitfall Trap; A trap for catching certain large monsters. It is tripped by a heavy weight.
81; 0; 0; 2; 1; 1; 88; 8; 12; 9; 160; 320; Shock Trap; A trap that immobilizes a target. Use it to capture monsters.
82; 0; 0; 0; 20; 20; 89; 0; 8; 11; 10; 100; Rolled-up Dung; A ball of condensed monster dung. Used to make dung pods for your slinger.
83; 0; 0; 0; 10; 10; 90; 0; 8; 11; 1; 10; Dung; Exudes a prodigious smell. Used to make ammo for your slinger called dung pods.
84; 0; 0; 1; 10; 10; 67; 8; 77; 11; 20; 120; Dung Pod; Slinger ammo that releases a strong odor on impact. Causes certain monsters to flee.
85; 0; 0; 1; 10; 10; 91; 8; 29; 2; 15; 150; Arowana Bait; A ball of bait favored by fish of the Arowana family.
86; 0; 0; 1; 10; 10; 92; 8; 29; 10; 15; 150; Gunpowderfish Bait; A ball of bait favored by fish of the Gunpowderfish family.
87; 0; 0; 1; 10; 10; 93; 8; 29; 4; 30; 300; Goldenfish Bait; A ball of bait favored by fish of the Goldenfish family.
88; 0; 0; 3; 5; 5; 94; 8; 30; 4; 15; 150; Boomerang; An unusually-shaped weapon from abroad that returns to its user when thrown.
89; 0; 0; 0; 1; 1; 95; 8; 32; 0; 5; 50; Binoculars; Allows you to see farther and observe from a distance.
90; 0; 0; 4; 1; 1; 96; 0; 13; 1; 3600; 36000; Powercharm; An amulet that strengthens attacks. Just carrying this gives you demonic strength.
91; 0; 0; 4; 1; 1; 97; 0; 45; 1; 6840; 68400; Powertalon; A charm that strengthens attacks. Its effects are amplified by the dragon parts it contains.
92; 0; 0; 4; 1; 1; 98; 0; 13; 7; 2400; 24000; Armorcharm; An amulet that increases defense. Just carrying this hardens your skin like stone.
93; 0; 0; 4; 1; 1; 99; 0; 45; 7; 5040; 50400; Armortalon; A charm that increases defense. Its effects are amplified by the dragon parts it contains.
94; 0; 0; 0; 99; 99; 100; 0; 16; 13; 1; 22; Needleberry; A nut covered in needle-like spines. Used to make spread ammo.
95; 0; 0; 0; 30; 30; 101; 0; 16; 7; 4; 40; Blastnut; A nut used to make sticky ammo.
96; 0; 0; 1; 5; 5; 102; 0; 16; 11; 12; 60; Dragonstrike Nut; A nut that explodes on impact. Used to make wyvern ammo.
97; 0; 0; 0; 30; 30; 103; 0; 16; 0; 4; 40; Slashberry; Used to make slicing ammo.
98; 0; 0; 0; 99; 99; 104; 0; 16; 3; 4; 40; Latchberry; A nut that bears a spiral groove. Used to make pierce ammo.
99; 0; 0; 1; 5; 10; 105; 0; 16; 14; 12; 60; Bomberry; A nut that ruptures on impact. Used to make cluster bombs.
100; 0; 0; 1; 80; 80; 106; 0; 21; 10; 12; 60; Flamenut; Used to make gunpowder that increases ammo firepower.
101; 0; 0; 1; 60; 60; 107; 0; 21; 10; 12; 60; Blazenut; Used to make gunpowder that greatly increases ammo firepower.
102; 0; 0; 1; 80; 80; 108; 512; 13; 10; 1; 16; Gunpowder Level 2; Combustible powder. Combine with level 1 ammo to raise its level.
103; 0; 0; 1; 80; 80; 109; 1024; 13; 10; 3; 30; Gunpowder Level 3; Highly combustible powder. Combine with level 1 ammo to raise its level.
104; 0; 0; 1; 10; 10; 5067; 8; 43; 4; 45; 135; Whetfish Fin; A fish fin used to sharpen weapons. Restores sharpness greatly, but good for fewer uses than a whetstone.
105; 0; 0; 3; 5; 5; 5068; 72; 43; 4; 45; 135; Whetfish Fin+; A fish fin used to sharpen weapons. Works better than a whetstone, and can be reused if you're lucky.
106; 0; 0; 1; 10; 10; 5069; 12; 43; 7; 45; 90; Sushifish Scale; A scale from a Sushifish. Eat to restore a small amount of health. Also works to treat bleeding.
107; 0; 0; 3; 5; 5; 5070; 76; 43; 7; 45; 90; Great Sushifish Scale; Scale from a Great Sushifish. Eat to get large health boost, a natural healing boost, and treat bleeding.
108; 0; 0; 2; 5; 5; 5071; 0; 43; 10; 150; 300; Gunpowderfish Scale; The scales of a Gunpowderfish. Combine with a large barrel bomb to dramatically increase its firepower.
109; 0; 0; 3; 5; 5; 5072; 64; 43; 10; 150; 300; Great Gunpowderfish Scale; The scales of a Great Gunpowderfish. Combine with a large barrel bomb to make a mega barrel bomb.
110; 0; 0; 1; 5; 5; 5073; 0; 43; 2; 45; 90; Burst Arowana Scale; The scales of a Burst Arowana. Combine with fire herb to make a large amount of level 2 gunpowder.
111; 0; 0; 3; 5; 5; 5074; 64; 43; 2; 45; 90; Great Burst Arowana Scale; The scales of a Great Burst Arowana. Combine with fire herb to make a vast amount of level 2 gunpowder.
112; 0; 0; 1; 5; 5; 5075; 0; 43; 5; 135; 270; Bomb Arowana Scale; The scales of a Bomb Arowana. Combine with fire herb to make a large amount of Lv3 gunpowder.
113; 0; 0; 3; 5; 5; 5076; 64; 43; 5; 135; 270; Great Bomb Arowana Scale; The scales of a Great Bomb Arowana. Combine with fire herb to make a vast amount of Lv3 gunpowder.
114; 0; 0; 3; 1; 1; 124; 8233; 6; 4; 0; 0; Whetstone; A standard-sized whetstone. Use it to restore a weapon's sharpness.
115; 0; 0; 3; 1; 1; 125; 8233; 64; 0; 0; 0; Capture Net; A net that can be fired from your slinger. Use it to capture small creatures.
116; 0; 0; 3; 1; 1; 126; 8233; 29; 0; 0; 0; Fishing Rod; A tool used for fishing.
117; 0; 0; 3; 1; 1; 127; 8233; 34; 1; 0; 0; BBQ Spit; Just what you need to cook meat. A must-have item for any hungry hunter.
118; 0; 0; 3; 1; 1; 222; 8232; 9; 3; 0; 0; Ghillie Mantle; Conceal yourself from view temporarily. The effect ends if you perform an attack or take damage.
119; 0; 0; 3; 1; 1; 223; 8232; 9; 0; 0; 0; Temporal Mantle; Nullify damage from powerful attacks by automatically evading.
120; 0; 0; 3; 1; 1; 224; 8232; 9; 0; 0; 0; Health Booster; Once spiked into the ground, it emits a healing cloud that gradually restores the health of anyone who stands in it.
121; 0; 0; 3; 1; 1; 225; 8232; 9; 0; 0; 0; Rocksteady Mantle; Stands firm against certain attacks, and gives you protection against wind pressure, roars, tremors. Also lessens damage.
122; 0; 0; 3; 1; 1; 226; 8232; 9; 0; 0; 0; Challenger Mantle; Attracts monsters to you, making it easier to lure them to a favorable position.
123; 0; 0; 3; 1; 1; 227; 8232; 9; 0; 0; 0; Vitality Mantle; Nullifies a set amount of damage. The effect ends if more than that amount is taken.
124; 0; 0; 3; 1; 1; 228; 8232; 9; 0; 0; 0; Fireproof Mantle; Reduces fire element damage and nullifies fireblight, blastblight, and heat damage.
125; 0; 0; 3; 1; 1; 229; 8232; 9; 0; 0; 0; Waterproof Mantle; Reduces water element damage, nullifies waterblight and mud. Lets you wade through deep water easier.
126; 0; 0; 3; 1; 1; 230; 8232; 9; 0; 0; 0; Iceproof Mantle; Reduces ice element damage and nullifies iceblight.
127; 0; 0; 3; 1; 1; 231; 8232; 9; 0; 0; 0; Thunderproof Mantle; Reduces thunder element damage. Nullifies thunderblight and paralysis.
128; 0; 0; 3; 1; 1; 232; 8232; 9; 0; 0; 0; Dragonproof Mantle; Reduces dragon element damage. Nullifies dragonblight while raising dragon element attack.
129; 0; 0; 3; 1; 1; 233; 8232; 9; 0; 0; 0; Cleanser Booster; Once spiked into the ground, it emits a healing cloud that cures any abnormal status of anyone who stands in it.
130; 0; 0; 3; 1; 1; 234; 8232; 9; 0; 0; 0; Glider Mantle; Extends air time when jumping, lets you ride on strong winds, and makes it easier to mount monsters.
131; 0; 0; 3; 1; 1; 235; 8232; 9; 0; 0; 0; Evasion Mantle; Extends the invulnerability window of evasive actions. Dodge attacks at the last minute for an attack boost.
132; 0; 0; 3; 1; 1; 236; 8232; 9; 0; 0; 0; Impact Mantle; Adds a stun value to most attacks, and enhances the effect of attacks which cause stun.
133; 0; 0; 3; 1; 1; 237; 8232; 9; 0; 0; 0; Apothecary Mantle; Increases the likelihood of weapons with abnormal status attacks to contribute to status buildup.
134; 0; 0; 3; 1; 1; 238; 8232; 9; 0; 0; 0; Immunity Mantle; Clears all abnormal statuses and grants immunity from them for a limited amount of time.
135; 0; 0; 3; 1; 1; 239; 8232; 9; 0; 0; 0; Affinity Booster; Once spiked into the ground, it emits a cloud of mist that boosts affinity for you and surrounding teammates.
136; 0; 0; 3; 1; 1; 240; 8232; 9; 0; 0; 0; Bandit Mantle; Makes attacks against large monsters drop rare and valuable trade-in items.
137; 1; 3; 3; 1; 1; 178; 8481; 17; 0; 0; 0; Normal Ammo 1; Ammo for novices. Gets the job done, but it doesn't pack much oomph.
138; 1; 3; 1; 99; 99; 179; 512; 17; 0; 1; 3; Normal Ammo 2; Non-specialized ammo. More powerful than Normal Ammo 1. Capacity: 99
139; 1; 3; 2; 99; 99; 180; 1024; 17; 0; 2; 5; Normal Ammo 3; Ammo made with high-quality gunpowder. Each shot packs considerable punch. Capacity: 99
140; 1; 3; 0; 60; 60; 181; 256; 17; 3; 2; 4; Pierce Ammo 1; Armor-piercing ammo that deals multiple hits to some monsters. Capacity: 60
141; 1; 3; 1; 60; 60; 182; 512; 17; 3; 2; 8; Pierce Ammo 2; High-grade armor-piercing ammo. Deals more hits than Pierce Ammo 1. Capacity: 60
142; 1; 3; 2; 60; 60; 183; 1024; 17; 3; 3; 12; Pierce Ammo 3; Max-grade armor-piercing ammo. Deals numerous hits. Capacity: 60
143; 1; 3; 0; 80; 80; 184; 256; 17; 13; 1; 4; Spread Ammo 1; Ammo that covers a wide area. Deals multiple hits at close range. Capacity: 80
144; 1; 3; 1; 70; 70; 185; 512; 17; 13; 2; 8; Spread Ammo 2; High-grade ammo that covers a wide area. Deals more hits than Spread Ammo 1. Capacity: 70
145; 1; 3; 2; 60; 60; 186; 1024; 17; 13; 2; 12; Spread Ammo 3; Max-grade ammo that covers a wide area and deals numerous hits. Capacity: 60
146; 1; 3; 0; 9; 9; 187; 256; 17; 7; 2; 12; Sticky Ammo 1; Powerful ammo that lodges in a target and explodes. Also stuns. Capacity: 9
147; 1; 3; 1; 9; 9; 188; 512; 17; 7; 3; 24; Sticky Ammo 2; Very powerful ammo that lodges in a target and explodes. Also stuns. Capacity: 9
148; 1; 3; 2; 9; 9; 189; 1024; 17; 7; 4; 36; Sticky Ammo 3; Extremely powerful ammo that lodges in a target and explodes. Also stuns. Capacity: 9
149; 1; 3; 1; 3; 3; 190; 256; 17; 14; 6; 30; Cluster Bomb 1; Ammo that fragments into three shells upon impact. Beware of friendly fire! Capacity: 3
150; 1; 3; 2; 3; 3; 191; 512; 17; 14; 6; 60; Cluster Bomb 2; Ammo that fragments into four shells upon impact. Beware of friendly fire! Capacity: 3
151; 1; 3; 3; 3; 3; 192; 1024; 17; 14; 10; 90; Cluster Bomb 3; Ammo that fragments into five shells upon impact. Beware of friendly fire! Capacity: 3
152; 1; 3; 1; 60; 60; 193; 0; 17; 25; 2; 20; Flaming Ammo; Ammo that packs a punch against monsters susceptible to fire. Capacity: 60
153; 1; 3; 1; 60; 60; 194; 0; 17; 15; 2; 20; Water Ammo; Ammo that packs a punch against monsters susceptible to water. Capacity: 60
154; 1; 3; 1; 60; 60; 195; 0; 17; 4; 2; 20; Thunder Ammo; Ammo that packs a punch against monsters susceptible to thunder. Capacity: 60
155; 1; 3; 1; 60; 60; 196; 0; 17; 0; 2; 20; Freeze Ammo; Ammo that packs a punch against monsters susceptible to ice. Capacity: 60
156; 1; 3; 2; 3; 3; 197; 0; 17; 14; 10; 100; Dragon Ammo; Elderseal-imbued ammo that packs a punch against monsters weak to dragon. Capacity: 3
157; 1; 3; 1; 12; 12; 198; 256; 17; 5; 2; 15; Poison Ammo 1; Poisons target, but may require several shots. Capacity: 12
158; 1; 3; 2; 12; 12; 199; 512; 17; 5; 2; 30; Poison Ammo 2; Enhanced ammo that inflicts poison. Some targets require multiple shots. Capacity: 12
159; 1; 3; 1; 12; 12; 200; 256; 17; 9; 3; 15; Paralysis Ammo 1; Ammo that causes paralysis. Some targets require multiple shots. Capacity: 12
160; 1; 3; 2; 8; 8; 201; 512; 17; 9; 5; 30; Paralysis Ammo 2; Enhanced ammo that causes paralysis. Some targets require multiple shots. Capacity: 8
161; 1; 3; 1; 12; 12; 202; 256; 17; 6; 2; 15; Sleep Ammo 1; Ammo that induces sleep. Some targets require multiple shots. Capacity: 12
162; 1; 3; 2; 8; 8; 203; 512; 17; 6; 3; 30; Sleep Ammo 2; Enhanced ammo that induces sleep. Some targets require multiple shots. Capacity: 8
163; 1; 3; 1; 12; 12; 204; 256; 17; 15; 3; 15; Exhaust Ammo 1; Ammo that drains a monster's stamina. Capacity: 12
164; 1; 3; 2; 8; 8; 205; 512; 17; 15; 5; 30; Exhaust Ammo 2; Enhanced ammo that drains a monster's stamina. Capacity: 8
165; 1; 3; 1; 12; 12; 206; 256; 17; 2; 2; 8; Recover Ammo 1; Ammo that restores a small amount of health to an ally upon impact. Capacity: 12
166; 1; 3; 2; 12; 12; 207; 512; 17; 2; 2; 15; Recover Ammo 2; Ammo that restores a moderate amount of health to an ally upon impact. Capacity: 12
167; 1; 3; 2; 5; 5; 208; 0; 17; 11; 6; 62; Wyvern Ammo; Ammo created through years of research into Wyvern's Fire. Capacity: 5
168; 1; 3; 1; 30; 30; 209; 0; 17; 0; 3; 12; Slicing Ammo; Ammo that ejects sharp blades on impact, which can sever tails. Capacity: 30
169; 1; 3; 2; 8; 8; 210; 0; 17; 8; 4; 45; Tranq Ammo; Bowgun ammo used to capture monsters ensnared in traps. Capacity: 8
170; 1; 3; 3; 5; 5; 211; 0; 17; 1; 9; 1; Demon Ammo; Ammo that fills the target with savage amounts of strength. Capacity: 5
171; 1; 3; 3; 5; 5; 212; 0; 17; 7; 7; 1; Armor Ammo; Ammo that makes the target's skin as hard as stone. Capacity: 5
172; 4; 3; 0; 1; 1; 213; 8192; 18; 10; 0; 0; (None); Unavailable
173; 4; 3; 3; 1; 1; 214; 8225; 19; 0; 0; 0; Close-range Coating; Arrows designed to deal more damage to nearby targets, at the cost of a reduced maximum range.
174; 0; 0; 0; 99; 99; 215; 0; 18; 0; 1; 5; Empty Phial; A regular old empty phial. Nothing more, nothing less.
175; 4; 3; 1; 50; 50; 216; 0; 19; 1; 2; 20; Power Coating; An arrow coating that increases the attack power of arrows. Capacity: 50
176; 4; 3; 2; 20; 20; 217; 0; 19; 5; 2; 17; Poison Coating; An arrow coating that applies poison effects to arrows. Capacity: 20
177; 4; 3; 2; 20; 20; 218; 0; 19; 9; 3; 26; Paralysis Coating; An arrow coating that applies paralysis effects to arrows. Capacity: 20
178; 4; 3; 2; 20; 20; 219; 0; 19; 6; 2; 17; Sleep Coating; An arrow coating that induces sleep. Capacity: 20
179; 0; 1; 3; 20; 20; 221; 8192; 0; 15; 2; 19; Exhaust Coating; An arrow coating that causes arrows to drain monsters' stamina. Capacity: 20
180; 4; 3; 2; 20; 20; 220; 0; 19; 26; 6; 20; Blast Coating; An arrow coating that applies explosive powder to arrows. Capacity: 20
181; 0; 0; 0; 10; 10; 136; 8202; 5; 2; 0; 1; First-aid Med; Restores a small amount of health. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
182; 0; 0; 1; 10; 10; 137; 8266; 5; 2; 0; 1; First-aid Med+; Restores a moderate amount of health. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
183; 0; 0; 0; 10; 10; 138; 8206; 7; 11; 0; 1; EZ Ration; Restores a small amount of stamina. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
184; 0; 0; 1; 3; 3; 139; 8202; 13; 24; 0; 1; EZ Lifepowder; Produces a healing cloud around the area that heals anyone that comes in contact with it. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
185; 0; 0; 1; 2; 2; 141; 8202; 62; 24; 0; 1; EZ Max Potion; Fully restores health and maximizes your Health Gauge. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
186; 0; 0; 2; 2; 2; 142; 8266; 10; 25; 0; 1; EZ Large Barrel Bomb; A powered-up large barrel bomb. Just as powerful as a mega barrel bomb. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
187; 0; 0; 2; 1; 1; 143; 8202; 12; 9; 0; 1; EZ Shock Trap; Immobilizes a target for easy capture. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
188; 0; 0; 2; 1; 1; 144; 8202; 12; 13; 0; 1; EZ Pitfall Trap; Activates a pitfall to catch monsters with. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
189; 0; 0; 3; 3; 3; 145; 8202; 13; 3; 0; 1; EZ Herbal Powder; Cures poison and restores a bit of health for everyone nearby. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
